indicator_name,type,primary_url,first_year_data_calculated_for,most_recent_year_data_calculated_for,lead_creator,creator_type,any_reproduction_material_online,any_reproduction_material_online_note,reproduction_material_no_restrictions,raw_data_cited,raw_data_cited_note,raw_data_hosted,raw_data_hosted_note,raw_documentation_cited,raw_documentation_cited_note,raw_documention_hosted,transformation_descriptions,source_code_available,source_code_note,source_code_human_readable,source_code_literate_programming,data_outputs_available,revisions_documented,revisions_documented_note,previous_official_data_accessible,previous_official_data_accessible_note,previous_official_documentation_accessible,previous_official_documentation_accessible_note,previous_official_source_accessible,version_controlled_data,version_controlled_documentation,version_controlled_source,persistent_replication_accessibility,persistent_replication_accessibility_note,plain_text_files_when_appropriate,open_standard_data,open_standard_data_note,open_standard_source,open_standard_source_note
Human Development Index,development,http://hdr.undp.org/en/content/human-development-index-hdi,1980,2016,United Nations Development Program,International organisation,yes,,yes,yes,,no,,yes,,no,yes,yes,Example Excel sheet available with formulas,yes,no,yes,yes,,yes,,yes,,no,no,no,no,no,Hosted on own website. No persistent URL.,no,yes,,no,
Social Progress Index,development,http://www.socialprogressimperative.org/global-index/,2014,2016,Social Progress Imperative,NGO,yes,,yes,yes,,no,,yes,,no,yes,no,,no,no,yes,yes,,no,,no,,no,no,no,no,no,Hosted on own website. No persistent URL.,no,no,,no,
Worldwide Governance Indicators,governance,http://info.worldbank.org/governance/wgi/index.aspx,1996,2015,World Bank,International organisation,yes,,yes,yes,,yes,,yes,,no,yes,no,,no,no,yes,yes,,no,,no,,no,no,no,no,no,Hosted on own website. No persistent URL.,no,no,"CSV is available on a separate, non-linked World Bank site: http://data.worldbank.org/data-catalog/worldwide-governance-indicators",no,
Ibrahim Index of African Governance,governance,http://mo.ibrahim.foundation/iiag/,2000,2015,Mo Ibrahim Foundation ,NGO,yes,,yes,yes,,yes,,yes,,no,yes,yes,"Source seems to be in a Excel workbook, that is PC only and unable to open.",yes,no,yes,no,,no,,no,,no,no,no,no,no,Hosted on own website. No persistent URL.,no,yes,,no,
Ease of Doing Business Index,private enterprise regulation,http://www.doingbusiness.org/,2003,2016,World Bank,International organisation,yes,,yes,yes,,yes,,yes,,yes,yes,no,,no,no,yes,yes,,yes,,yes,,no,no,no,no,no,Hosted on own website. No persistent URL.,no,no,,no,
Freedom in the World,democracy,https://freedomhouse.org/report-types/freedom-world,1972,2016,Freedom House,NGO,yes,,yes,,Data collected via internally survey,no,"Scores are hosted, but original sources and reports are not hosted",,Not applicable due to internal original data collection.,yes,yes,no,,no,no,yes,,,yes,,no,,no,no,no,no,no,Hosted on own website. No persistent URL.,no,no,,no,
Polity IV,democracy,http://www.systemicpeace.org/inscrdata.html,1800,2015,Center for Systemic Peace,NGO,yes,,yes,,Data collected via internally survey,no,,,,yes,yes,no,,no,no,yes,yes,,yes,Available on a previous version of the project website that is still accessible: http://www.systemicpeace.org/polity/polity4.htm ,yes,Available on a previous version of the project website that is still accessible: http://www.systemicpeace.org/polity/polity4.htm ,no,no,no,no,no,Hosted on own website. No persistent URL.,no,no,,no,
Environmental Performance Index,environment,http://epi.yale.edu/,1990,2015,Yale Center for Evironmental Law and Policy,NGO,yes,,yes,yes,,yes,,yes,,no,yes,no,,no,no,yes,yes,,yes,,yes,,no,no,no,no,no,Hosted on own website. No persistent URL.,no,no,,no,
PISA,education,http://www.oecd.org/pisa/,2000,2015,UNESCO,International Organisation,yes,,yes,,Data collected via internally survey,yes,,,Not applicable due to internal original data collection.,yes,yes,yes,,no,no,yes,,Not applicable as the scores are based on an assessment given to students,yes,,yes,,yes,no,no,no,no,Hosted on own website. No persistent URL.,yes,yes,,no,Available in SPSS and SAS formats
Global Innovation Index,innovation and tech,https://www.globalinnovationindex.org/,2013,2016,"Johnson Graduate School of Management, Cornell, Insead, World Intellectual Property Organization",NGO/International Organisation,yes,,yes,yes,,yes,,yes,,no,yes,no,,no,no,yes,yes,,no,,no,,no,no,no,no,no,no,no,no,,no,
Global Cities Index,regional,https://www.atkearney.com/research-studies/global-cities-index,2008,2016,AT Kearney,Private sector,no,"A short methodology section is included, though this only discusses components and weights, but gives no sources or even precise definitions of the components",,no,,no,,no,,no,yes,no,,no,no,yes,no,,yes,,yes,,no,no,no,no,no,Hosted on own website. No persistent URL.,no,no,,no,
Newsweek's World's Best Countries Index,overall,http://europe.newsweek.com/worlds-best-countries-categories-metrics-and-methodology-71311?rm=eu,2009,2009,Newsweek,Private sector,yes,,yes,yes,,no,,yes,,no,yes,no,,no,no,no,yes,,,,no,,no,no,no,no,no,The listed URL is actually dead,no,no,,no,
